,Tavg,RH_avg,RR,ff_avg
403,28.0,83.0,11.408783783783784,2.0
404,27.3,86.0,11.408783783783784,1.0
405,28.3,82.0,11.408783783783784,2.0
406,27.6,84.0,3.0,2.0
407,27.4,85.0,2.5,1.0
408,28.1,83.0,11.408783783783784,1.0
409,28.3,80.0,0.0,2.0
410,28.1,82.0,11.408783783783784,2.0
411,27.8,84.0,11.408783783783784,1.0
412,27.5,84.0,77.4,2.0
413,28.3,80.0,11.408783783783784,1.0
414,28.0,81.0,11.408783783783784,1.0
415,27.7,84.0,0.0,1.0
416,27.3,87.0,1.3,1.0
417,27.0,89.0,5.7,2.0
418,26.7,86.0,3.8,2.0
419,27.8,85.0,8.2,1.0
420,28.4,83.0,11.408783783783784,2.0
421,28.7,80.0,1.8,2.0
422,29.5,79.0,11.408783783783784,2.0
423,29.3,81.0,11.408783783783784,1.0
424,27.4,87.0,11.408783783783784,1.0
425,27.7,86.0,4.1,1.0
426,26.6,90.0,22.2,1.0
427,28.0,82.0,5.0,1.0
428,26.9,87.0,27.5,1.0
429,25.1,91.0,15.5,1.0
430,26.8,84.0,3.1,1.0
431,28.4,77.0,11.408783783783784,1.0
432,27.5,81.0,11.408783783783784,2.0
433,28.1,78.0,11.408783783783784,2.0
434,26.9,85.0,11.408783783783784,2.0
435,27.6,82.0,11.408783783783784,2.0
436,27.6,83.0,6.2,1.0
437,27.2,83.0,7.5,1.0
438,28.5,82.0,11.408783783783784,1.0
439,27.6,81.0,0.8,3.0
440,27.5,81.0,11.408783783783784,1.0
441,27.4,84.0,11.408783783783784,2.0
442,26.5,86.0,1.6,4.0
443,27.7,83.0,11.408783783783784,2.0
444,27.2,84.0,11.408783783783784,1.0
445,27.8,85.0,31.6,3.0
446,27.6,82.0,11.408783783783784,3.0
447,28.2,81.0,11.408783783783784,3.0
448,27.2,83.0,11.408783783783784,2.0
449,28.5,82.0,0.5,2.0
450,27.6,86.0,19.0,1.0
451,28.5,80.0,0.7,2.0
452,28.1,77.0,11.408783783783784,1.0
453,28.8,75.0,11.408783783783784,1.0
454,27.9,80.0,11.408783783783784,1.0
455,26.9,82.0,7.5,1.0
456,27.5,84.0,47.4,1.0
457,27.1,84.0,5.4,1.0
458,28.7,78.0,5.2,1.0
459,28.1,83.0,19.6,2.0
460,27.2,84.0,0.8,2.0
461,26.9,88.0,44.3,1.0
462,28.1,86.0,38.5,1.0
463,28.7,82.0,0.0,2.0
464,28.8,84.0,11.408783783783784,1.0
465,29.0,80.0,11.408783783783784,2.0
466,28.3,82.0,11.408783783783784,1.0
467,28.7,81.0,3.7,1.0
468,28.8,77.0,1.3,1.0
469,28.1,83.0,11.408783783783784,1.0
470,27.7,82.0,1.0,0.0
471,28.3,80.0,19.0,1.0
472,29.2,80.0,0.0,2.0
473,28.3,83.0,11.408783783783784,1.0
474,27.1,88.0,8.7,1.0
475,29.2,78.0,11.408783783783784,2.0
476,29.4,74.0,1.4,3.0
477,30.2,70.0,11.408783783783784,2.0
478,26.8,90.0,11.408783783783784,1.0
479,28.1,79.0,49.6,2.0
480,27.4,88.0,13.2,1.0
481,26.8,90.0,46.7,1.0
482,27.2,88.0,49.6,1.0
483,27.8,89.0,0.2,1.0
484,27.8,89.0,20.7,1.0
485,27.3,79.0,2.7,4.0
486,28.6,79.0,11.408783783783784,3.0
487,28.5,78.0,0.0,1.0
488,28.6,82.0,11.408783783783784,2.0
489,28.4,79.0,22.2,2.0
490,28.1,80.0,2.2,1.0
491,28.1,83.0,11.408783783783784,1.0
492,27.8,85.0,23.0,1.0
493,27.1,88.0,1.3,1.0
494,27.6,87.0,73.4,1.0
495,28.4,81.0,17.8,2.0
496,28.7,80.0,0.0,2.0
497,28.8,78.0,11.408783783783784,1.0
498,29.4,75.0,11.408783783783784,2.0
499,28.8,78.0,11.408783783783784,2.0
500,28.0,85.0,2.1,1.0
501,28.4,82.0,25.9,1.0
502,28.6,74.0,2.5,1.0
503,28.8,76.0,11.408783783783784,1.0
504,29.2,78.0,11.408783783783784,1.0
505,29.1,74.0,0.0,1.0
506,29.7,74.0,11.408783783783784,2.0
507,29.6,69.0,11.408783783783784,2.0
508,29.3,68.0,0.0,3.0
